Date,SUMMER STEELHEAD_Hatchery,SUMMER STEELHEAD_Wild,SUMMER STEELHEAD_RM,SUMMER STEELHEAD_LM,SPRING CHINOOK_Hachery,SPRING CHINOOK_Wild,SPRING CHINOOK_RM,SPRING CHINOOK_LM,Sockeye_NoMark,Sockeye_RM,Sockeye_LM,Fall Chinook,Bull Trout,Rainbow Trout,Total
3/7/2018,9,,,,,,,,,,,,,8,17
3/9/2018,9,,,,,,,,,,,,,8,17
3/12/2018,23,2,,,,,,,,,,,,18,43
3/14/2018,8,,,,,,,,,,,,,10,18
3/16/2018,3,1,,,,,,,,,,,,18,22
3/19/2018,8,2,,,,,,,,,,,,10,20
3/23/2018,16,,,,,,,,,,,,,27,43
3/26/2018,5,,,,,,,,,,,,,8,13
3/28/2018,6,1,,,,,,,,,,,,2,9
3/30/2018,6,,,,,,,,,,,,,5,11
4/2/2018,6,,,,,,,,,,,,,11,17
4/4/2018,1,,,,,,,,,,,,,5,6
4/6/2018,3,2,,,,,,,,,,,,5,10
4/9/2018,3,,,,,,,,,,,,,7,10
4/11/2018,6,,,,,,,,,,,,,15,21
4/13/2018,2,1,,,,,,,,,,,,3,6
4/16/2018,,,,,,,,,,,,,,4,4
4/18/2018,,,,,,,,,,,,,,1,1
4/23/2018,1,1,,,,,,,,,,,,3,5
4/27/2018,,,,,,,,,,,,,,1,1
5/8/2018,,,,,,,,,,,,,,4,4
5/9/2018,,1,,,,,,,,,,,,4,5
5/11/2018,,,,,,,,,,,,,,5,5
5/14/2018,,,,,13,,,,,,,,,3,16
5/16/2018,,,,,11,,,,,,,,1,3,15
5/18/2018,,,,,26,,,,,,,,1,3,30
5/21/2018,,,,,90,1,,,,,,,,4,95
5/23/2018,,,,,69,2,,,,,,,,3,74
5/25/2018,,,,,59,3,,2,,,,,,4,68
5/28/2018,,,,,36,1,,,,,,,,6,43
5/29/2018,,,,,41,2,,,,,,,1,5,49
5/30/2018,,,,,37,2,,,,,,,,4,43
6/1/2018,,,,,47,,,,,,,,,2,49
6/4/2018,,,,,68,3,,,,,,,1,3,75
6/6/2018,,,,,18,,,,,,,,,3,21
6/8/2018,,,,,69,1,,,,,,,1,4,75
6/11/2018,,,,,38,2,,1,,,,,1,8,50
6/12/2018,,,,,9,,,,,,,,,3,12
6/15/2018,,,,,59,1,,1,,,,,1,5,67
6/18/2018,,,,,39,3,1,,,,,,1,32,76
6/21/2018,,,,,36,2,,,,,,,,7,45
6/22/2018,,,,,16,,,,,,,,,1,17
6/25/2018,,,,,21,1,,,,,,,2,3,27
6/27/2018,,,,,24,2,,,,,,,,,26
6/29/2018,,,,,18,1,,,,,,,,1,20
7/2/2018,,,,,21,,,,,,,,1,18,40
7/5/2018,,,,,14,2,,,,,,,1,27,44
7/6/2018,,,,,4,1,,,,,,,,13,18
7/9/2018,,,,,12,2,,,,,,,2,9,25
7/11/2018,,,,,12,1,,,,,,,,8,21
7/13/2018,,,,,6,,,,,1,,,1,5,13
7/16/2018,,,,,9,,,,,1,,,3,11,24
7/18/2018,,,,,4,1,,,,1,,,,15,21
7/20/2018,,,,,6,,,,,1,,,2,2,11
7/23/2018,1,,,,3,,,,,3,,,1,5,13
7/25/2018,,,,,3,,,,,1,,,4,2,10
7/27/2018,,,,,3,,,,,3,,,1,2,9
7/30/2018,,,,,5,1,,,,4,,,,1,
8/1/2018,,,,,,,,,,4,,,1,2,7
8/3/2018,,,,,3,,,,,2,,,,,5
8/6/2018,,,,,3,,,,,,,1,2,5,11
8/8/2018,,,,,2,,,,,2,,,,,4
8/13/2018,,,,,2,,,,,2,,,,3,7
8/16/2018,,,,,2,,,,,2,,,,2,6
8/20/2018,,,,,1,,,,3,3,,,1,,8
8/22/2018,,,,,,,,,1,3,,,1,2,7
8/24/2018,,,,,2,,,,1,1,,,1,,5
8/27/2018,,1,,,1,,,,1,1,,,,,4
8/29/2018,,,,,1,,,,,1,,,,3,5
8/31/2018,,,,,,,,,1,,,,,,1
9/5/2018,2,,,,,,,,1,2,,,,1,6
9/7/2018,,,,,,,,,,1,,,,1,2
9/10/2018,3,,,,,,,,1,,,,,2,6
9/17/2018,1,,,1,,,,,,,,,1,,3
9/19/2018,1,,,,,,,,,,,,,1,2
9/21/2018,6,,,,,,,,,,,,,,6
9/24/2018,6,,,,,,,,,,,,,2,8
9/26/2018,7,1,1,,,,,,,,,,,2,11
9/28/2018,2,,,,,,,,,,,,,1,3
10/1/2018,3,,,,,,,,,,,,,,3
10/4/2018,4,1,,,,,,,1,,,2,,3,11
10/8/2018,9,,,,,,,,,,,,,,9
10/10/2018,4,,,,,,,,,,,,,3,7
10/12/2018,14,,,2,,,,,,,,,,7,23
10/15/2018,9,,,1,,,,,,,,,,5,15
10/17/2018,20,,,,,,,,,,,,,5,25
10/19/2018,16,,,,,,,,,,,1,,1,18
10/22/2018,20,,,2,,,,,,,,1,,4,27
10/24/2018,8,,,,,,,,,,,2,,7,17
10/26/2018,9,,,,,,,,,,,2,,5,16
10/29/2018,17,,,,,,,,,,,2,,3,22
10/31/2018,20,,,,,,,,,,,16,,14,50
11/2/2018,30,,1,,,,,,,,,45,,20,96
11/5/2018,47,2,1,4,,,,,,,,61,,33,148
11/7/2018,27,,1,1,,,,,,,,19,,22,70
11/9/2018,2,,,,,,,,,,,8,,6,16
11/12/2018,35,2,,1,,,,,,,,41,,39,118
11/14/2018,5,,,,,,,,,,,22,1,28,56
11/16/2018,23,2,,1,,,,,,,,67,,19,112
11/19/2018,11,,1,,,,,,,,,64,,17,93
11/21/2018,21,,,,,,,,,,,29,1,12,63
11/23/2018,26,,,1,,,,,,,,26,1,6,60
11/26/2018,22,1,,,,,,,,,,24,,9,56
11/28/2018,18,,,1,,,,,,,,20,,8,47
11/30/2018,31,,,,,,,,,,,22,1,19,73
12/3/2018,38,1,,,,,,,,,,22,1,34,96
12/5/2018,27,1,,,,,,,,,,14,1,14,57
12/7/2018,20,,,1,,,,,,,,14,1,18,54
12/10/2018,36,,,,,,,,,,,9,,14,59
12/12/2018,20,,,,,,,,,,,7,,15,42
12/14/2018,21,,1,,,,,,,,,10,,9,41
12/17/2018,29,,,,,,,,,,,17,,28,74
12/19/2018,36,,,,,,,,,,,6,,33,75
12/21/2018,29,,,,,,,,,,,10,,22,61
12/24/2018,41,,,,,,,,,,,2,1,39,83
12/26/2018,41,1,,,,,,,,,,1,,20,63
12/28/2018,41,,,1,,,,,,,,5,,24,71
12/31/2018,19,,1,,,,,,,,,1,,13,34
1/4/2019,21,,,1,,,,,,,,1,,11,34
1/7/2019,23,,,1,,,,,,,,1,,12,37
1/9/2019,18,,,,,,,,,,,,,23,41
1/11/2019,10,1,,,,,,,,,,,,25,36
1/14/2019,12,,,1,,,,,,,,,,7,20
1/16/2019,16,,,,,,,,,,,,,7,23
1/18/2019,24,,,,,,,,,,,2,1,9,36
1/21/2019,37,1,,1,,,,,,,,,,25,64
1/23/2019,26,,,1,,,,,,,,,,8,35
1/25/2019,23,,,,,,,,,,,,,33,56
1/28/2019,20,,,,,,,,,,,,,16,36
1/30/2019,9,,,,,,,,,,,,,12,21
2/1/2019,23,,,,,,,,,,,,,12,35
2/4/2019,46,,,,,,,,,,,,,19,65
2/6/2019,32,,,,,,,,,,,,,10,42
2/8/2019,20,,1,,,,,,,,,,,13,34
2/11/2019,9,,,,,,,,,,,,,6,15
2/13/2019,18,,,,,,,,,,,,,10,28
2/15/2019,19,1,,1,,,,,,,,,,11,32
2/18/2019,47,,,,,,,,,,,,,24,71
2/20/2019,15,,,,,,,,,,,,,11,26
2/22/2019,19,1,,,,,,,,,,,,14,34
2/28/2019,25,,,,,,,,,,,,,24,49
3/2/2019,5,2,,,,,,,,,,,,28,35
3/4/2019,9,,,,,,,,,,,,,9,18
3/4/2019,7,1,,,,,,,,,,,,25,33
3/6/2019,8,1,,,,,,,,,,,,1,10
3/6/2019,5,2,,,,,,,,,,,,17,24
3/8/2019,13,,,,,,,,,,,,,3,16
3/9/2019,9,4,1,1,,,,,,,,,,41,56
3/11/2019,6,,,,,,,,,,,,,7,13
3/11/2019,5,2,,,,,,,,,,,,19,26
3/13/2019,7,2,,,,,,,,,,,,11,20
3/14/2019,25,1,,,,,,,,,,,,14,40
3/16/2019,6,1,,,,,,,,,,,,18,25
3/18/2019,2,1,,,,,,,,,,,,3,6
3/18/2019,29,3,,2,,,,,,,,,,48,82
3/20/2019,2,,,,,,,,,,,,,5,7
3/21/2019,22,6,,1,,,,,,,,,,38,67
3/23/2019,1,2,,,,,,,,,,,,23,26
3/25/2019,21,4,,1,,,,,,,,,,59,85
3/27/2019,2,8,,,,,,,,,,,1,29,40
3/29/2019,2,,,,,,,,,,,,,23,25
3/30/2019,5,4,,,,,,,,,,,1,32,42
4/1/2019,6,1,,1,,,,,,,,,,33,41
4/3/2019,2,,,,,,,,,,,,,13,15
4/5/2019,1,,,,,,,,,,,,,8,9
4/8/2019,1,,,,,,,,,,,,,20,21
4/10/2019,,,,,,,,,,,,,,11,11
4/12/2019,,,,,,,,,,,,,,3,3
4/15/2019,,,,,,,,,,,,,,12,12
4/19/2019,,,,,,,,,,,,,,18,18
4/22/2019,,,,,,,,,,,,,,5,5
4/26/2019,,,,,,,,,,,,,,11,11
4/29/2019,,,,,,,,,,,,,,5,5
5/3/2019,,,,,,,,,,,,,,10,10
5/6/2019,,,,,,,,,,,,,,3,3
5/10/2019,,,,,,,,,,,,,,3,3
5/13/2019,,,,,,,,,,,,,,7,7
5/15/2019,,,,,4,1,,,,,,,,18,23
5/17/2019,,,,,12,,9,2,,,,,2,6,31
5/20/2019,,,,,18,1,5,4,,,,,,3,31
5/22/2019,,,,,25,,1,4,,,,,1,4,35
5/24/2019,,,,,12,,2,,,,,,,8,22
5/27/2019,,,,,20,,1,,,,,,1,16,38
5/29/2019,,,,,17,,3,,,,,,,,20
5/31/2019,,,,,23,1,1,1,,,,,,10,36
6/3/2019,,,,,28,2,3,1,,,,,1,6,41
6/6/2019,,,,,25,,1,2,,,,,1,3,32
6/7/2019,,,,,6,1,1,,,,,,,6,14
6/10/2019,,,,,39,,1,1,,,,,2,8,51
6/12/2019,,,,,18,1,1,,,,,,1,3,24
6/14/2019,,,,,15,1,1,,,,,,,12,29
6/17/2019,,,,,22,,1,,,,,,1,7,31
6/19/2019,,,,,15,1,1,,,,,,1,5,23
6/21/2019,,,,,17,,,,,,,,,1,18
6/25/2019,,,,,23,2,,,,,,,2,16,43
6/28/2019,,,,,14,1,,,,,,,1,10,26
7/2/2019,,,,,14,1,,,,,,,3,7,25
7/5/2019,,,,,9,,,,,,,,,7,16
7/8/2019,,,,,2,,,,,,,,,1,3
7/10/2019,,,,,1,,,,,,,,,1,2
7/12/2019,,,,,3,1,,,,,,,,8,12
7/15/2019,,,,,1,1,,,,1,1,,,7,11
7/17/2019,,,,,,,,,,1,,,,8,9
7/19/2019,,,,,,,,,,,,,,3,3
7/22/2019,,,,,,,,,,1,,,,3,4
7/24/2019,,,,,3,,,,,,,,,1,4
7/26/2019,,,,,1,1,,,,2,,,,2,6
7/29/2019,,,,,1,,,,,2,,,,2,5
8/1/2019,,,,,5,1,,,,2,,,1,1,10
8/2/2019,,,,,1,,,,1,1,1,,,,4
8/5/2019,,,,,,,,,,3,,,,,3
8/7/2019,,,,,,,,,,3,,,1,1,5
8/9/2019,,,,,,,,,,4,,,1,,5
8/12/2019,,1,,,9,2,,,1,16,,,,8,37
8/14/2019,,,,,,,,,,,,,,1,1
8/16/2019,,,,,4,,,,,1,,,,1,6
8/21/2019,,,,,,,,,,1,,,1,,2
8/23/2019,,,,,,,,,,,,,,2,2
8/26/2019,,,,,4,,,,,9,,,1,5,19
8/28/2019,,,,,1,,,,1,,,,,7,9
8/30/2019,,,,,2,,,,,2,,,,,4
9/4/2019,,,,,,,,,,,,,1,1,2
9/6/2019,,,,,,,,,,1,,,,2,3
9/9/2019,,,,,,1,,,,,,,,2,3
9/11/2019,,,2,,,,,,5,1,,,,,8
9/16/2019,,,1,,,,,,4,1,,,,4,10
9/19/2019,2,,,,,,,,,,,,,,2
9/23/2019,,,,,,,,,,,,,,3,3
9/26/2019,2,,,,,,,,1,1,,,,1,5
9/30/2019,11,1,1,,,,,,,,,,,9,22
10/2/2019,4,,,,,,,,,,,1,,1,6
10/4/2019,4,3,,,,,,,,,,,,4,11
10/7/2019,10,2,1,2,,,,,1,,,,,1,17
10/9/2019,4,,1,,,,,,,,,3,,4,12
10/11/2019,8,,,1,,,,,,,,,,1,10
10/14/2019,4,1,,,,,,,,,,,,4,9
10/16/2019,4,,,,,,,,,,,,,,4
10/18/2019,7,,,1,,,,,,,,,,5,13
10/21/2019,7,,,1,,,,,,,,2,,8,18
10/24/2019,10,2,,,,,,,,,,23,,,35
10/28/2019,14,1,1,2,,,,,,,,23,,9,50
10/31/2019,11,1,1,,,,,,,,,9,,4,26
11/5/2019,6,,,,,,,,,,,5,,9,20
11/7/2019,8,,,1,,,,,,,,1,,6,16
11/11/2019,7,1,,,,,,,,,,4,,7,19
11/15/2019,6,,,,,,,,,,,1,,,7
11/18/2019,3,,,,,,,,,,,3,,1,7
11/20/2019,5,,,,,,,,,,,2,,2,9
11/22/2019,6,1,1,2,,,,,,,,17,,9,36
11/25/2019,21,,,,,,,,,,,26,2,18,67
11/29/2019,14,,,,,,,,,,,52,,6,72
12/2/2019,23,,,,,,,,,,,44,,20,87
12/4/2019,5,,2,2,,,,,,,,6,,2,17
12/6/2019,9,,,,,,,,,,,15,,5,29
12/9/2019,26,,3,,,,,,,,,19,,19,67
12/11/2019,10,,,,,,,,,,,10,,13,33
12/13/2019,26,,,,,,,,,,,9,,23,58
12/16/2019,54,1,,1,,,,,,,,17,,38,111
12/18/2019,31,,,,,,,,,,,11,,26,68
12/20/2019,12,1,,,,,,,,,,12,,23,48
12/23/2019,25,,1,6,,,,,,,,5,,22,59
12/27/2019,39,1,,,,,,,,,,5,,38,83
12/30/2019,11,,,,,,,,,,,10,,9,30
1/2/2020,10,,,3,,,,,,,,4,1,13,31
1/6/2020,52,1,,,,,,,,,,7,1,51,112
1/8/2020,31,1,,3,,,,,,,,2,,12,49
1/10/2020,20,,,,,,,,,,,1,,8,29
1/13/2020,35,,,2,,,,,,,,,,26,63
1/15/2020,7,,,,,,,,,,,2,,8,17
1/17/2020,8,,,,,,,,,,,,,10,18
1/20/2020,11,1,,1,,,,,,,,2,,22,37
1/22/2020,19,1,,1,,,,,,,,,,11,32
1/24/2020,15,1,,,,,,,,,,1,,23,40
1/27/2020,26,3,,3,,,,,,,,,,45,77
1/29/2020,16,2,,,,,,,,,,,,43,61
1/31/2020,23,1,,,,,,,,,,,,32,56
2/3/2020,21,5,1,3,,,,,,,,,,59,89
2/5/2020,9,1,1,1,,,,,,,,,,13,25
2/7/2020,11,2,,,,,,,,,,,,14,27
2/10/2020,12,1,,,,,,,,,,,,15,28
2/12/2020,10,,,,,,,,,,,,,11,21
2/14/2020,10,,,1,,,,,,,,,,23,34
2/17/2020,6,1,,,,,,,,,,,,20,27
2/19/2020,6,,,,,,,,,,,1,,19,26
2/21/2020,8,1,,,,,,,,,,,,18,27
2/24/2020,5,4,,,,,,,,,,,,11,20
2/26/2020,6,1,1,,,,,,,,,,,21,29
2/28/2020,2,4,,,,,,,,,,,1,18,25
4/3/2020,3,4,,,,,,,,,,,,35,42
4/6/2020,1,,,,,,,,,,,,,9,10
4/10/2020,1,4,,,,,,,,,,,,13,18
4/13/2020,1,6,,,,,,,,,,,,19,26
4/17/2020,2,2,,,,,,,,,,,,25,29
4/20/2020,,,,,,,,,,,,,,16,16
4/24/2020,,3,,,,,,,,,,,,24,27
4/27/2020,,,,,,,,,,,,,,12,12
5/1/2020,,,,,,,,,,,,,,19,19
5/4/2020,,,,,,,,,,,,,,7,7
5/8/2020,,,,,,,1,,,,,,1,10,12
5/11/2020,,,,,4,,,,,,,,,9,13
5/13/2020,,,,,1,,,,,,,,,2,3
5/15/2020,,,,,2,,,,,,,,,4,6
5/18/2020,,,,,6,,1,,,,,,2,2,11
5/20/2020,,,,,,,,,,,,,,11,11
5/22/2020,,,,,6,,,,,,,,,11,17
5/26/2020,,,,,6,,,,,,,,,34,40
5/27/2020,,,,,1,,1,1,,,,,2,11,16
5/29/2020,,,,,8,1,,,,,,,,1,10
6/1/2020,,1,,,14,,,,,,,,1,36,52
6/3/2020,,,,,5,1,,,,,,,,21,27
6/5/2020,,,,,10,,,,,,,,2,12,24
6/8/2020,,,,,17,2,1,1,,,,,3,14,38
6/10/2020,,,,,7,,,,,,,,,3,10
6/12/2020,,,,,11,,,1,,,,,,8,20
6/15/2020,,,,,11,,,,,,,,1,7,19
6/17/2020,,,,,2,,,,,,,,,2,4
6/19/2020,,,,,13,,,,,,,,,3,16
6/22/2020,,,,,13,,1,1,,,,,,8,23
6/26/2020,,,,,18,1,2,1,,,,,,8,30
6/29/2020,,,,,15,,,,,,,,,8,23
7/1/2020,,,,,6,,,,,,,,,2,8
7/2/2020,,,,,4,,,,,,,,,1,5
7/6/2020,,,,,3,,,,,,,,,3,6
7/8/2020,,,,,4,,1,,,,,,,1,6
7/10/2020,,,,,3,1,,,1,,,,1,,6
7/13/2020,,,,,3,1,,,,,,,,4,8
7/15/2020,,,,,,,,,,,,,,2,2
7/20/2020,,,,,3,,,,,,,,,1,4
7/22/2020,,,,,1,,,,2,,,,,,3
7/24/2020,,,,,6,2,,,,,,,1,,9
7/27/2020,,,,,6,,,,4,1,,,2,3,16
