"","Date_time","Hatchery Summer Steelhead","Wild Summer Steelhead","Summer Steelhead RM","Summer Steelhead LM","Hatchery Spring Chinook","Wild Spring Chinook","Spring Chinook RM","Spring Chinook LM","No Mark Sockeye","Sockeye RM","Sockeye LM","Fall Chinook","Bull Trout","Rainbow Trout","Total","Year","Season","Month","Mean Temperature"
"46",1986-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,"Spring","June",10.9
"47",1986-07-01,42,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,1986,"Summer","July",12
"48",1986-08-01,106,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,1986,"Summer","August",12.95
"49",1986-09-01,744,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,1986,"Summer","September",13.7
"50",1986-10-01,532,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,1986,"Fall","October",12.6
"51",1987-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Spring","June",10.7
"52",1987-07-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1987,"Summer","July",12.4
"53",1987-08-01,61,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,1987,"Summer","August",13.4
"54",1987-09-01,418,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,1987,"Summer","September",14.1
"55",1987-10-01,306,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,1987,"Fall","October",NA
"56",1988-06-01,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1988,"Spring","June",10.6
"57",1988-07-01,31,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,1988,"Summer","July",11.9
"58",1988-08-01,55,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,1988,"Summer","August",13.3
"59",1988-09-01,665,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,NA,NA,NA,1988,"Summer","September",13.7
"60",1988-10-01,233,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,1988,"Fall","October",NA
"61",1989-06-01,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,1989,"Spring","June",NA
