"","Date_time","Hatchery Summer Steelhead","Wild Summer Steelhead","Summer Steelhead RM","Summer Steelhead LM","Hatchery Spring Chinook","Wild Spring Chinook","Spring Chinook RM","Spring Chinook LM","No Mark Sockeye","Sockeye RM","Sockeye LM","Fall Chinook","Bull Trout","Rainbow Trout","Total","Year","Season","Month","Mean Temperature"
"198",2014-01-31,23,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,26,2014,"Winter","January",6.3
"199",2014-02-03,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,9,47,2014,"Winter","February",6.6
"200",2014-02-05,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,14,49,2014,"Winter","February",6.1
"201",2014-02-07,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,14,2014,"Winter","February",5.4
"202",2014-02-12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,11,2014,"Winter","February",5.7
"203",2014-02-14,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,19,2014,"Winter","February",6.2
"204",2014-02-17,46,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,49,100,2014,"Winter","February",6.4
"205",2014-02-19,83,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,150,2014,"Winter","February",6.6
"206",2014-02-21,17,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,48,2014,"Winter","February",6.6
"207",2014-02-24,45,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,71,2014,"Winter","February",6.6
"208",2014-02-26,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,16,2014,"Winter","February",6.5
"209",2014-02-28,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,40,2014,"Winter","February",6.3
"210",2014-03-03,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,2014,"Winter","March",6.5
"211",2014-03-05,21,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,27,2014,"Winter","March",6.6
"212",2014-03-07,31,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,48,2014,"Winter","March",7.3
"213",2014-03-10,63,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,110,2014,"Winter","March",7.7
"214",2014-03-12,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,50,2014,"Winter","March",7.6
"215",2014-03-14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,20,2014,"Winter","March",7.7
"216",2014-03-17,33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,66,2014,"Winter","March",8.3
"217",2014-03-19,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,32,2014,"Winter","March",8.3
"218",2014-03-21,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,15,2014,"Spring","March",8.1
"219",2014-03-24,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,2014,"Spring","March",8
"220",2014-03-26,18,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,36,2014,"Spring","March",8.3
"221",2014-03-28,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,18,2014,"Spring","March",8.5
"222",2014-03-31,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,26,2014,"Spring","March",9
"223",2014-04-02,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,12,2014,"Spring","April",9
"224",2014-04-07,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2014,"Spring","April",9.4
"225",2014-04-09,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2014,"Spring","April",9.7
"226",2014-04-11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2014,"Spring","April",9.8
"227",2014-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,2014,"Spring","April",9.7
"228",2014-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2014,"Spring","April",10
"229",2014-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2014,"Spring","April",10.8
"230",2014-04-23,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2014,"Spring","April",10.9
"231",2014-04-25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2014,"Spring","April",11.3
"232",2014-04-28,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2014,"Spring","April",11.3
"233",2014-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2014,"Spring","April",11.4
"234",2014-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2014,"Spring","May",12
"235",2014-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,2014,"Spring","May",12.5
"236",2014-05-07,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,19,22,2014,"Spring","May",12.5
"237",2014-05-09,NA,1,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,21,26,2014,"Spring","May",12.1
"238",2014-05-12,NA,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,10,21,2014,"Spring","May",12.5
"239",2014-05-14,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,6,22,2014,"Spring","May",12.6
"240",2014-05-16,NA,NA,NA,NA,26,2,NA,1,NA,NA,NA,NA,NA,8,37,2014,"Spring","May",12.7
"241",2014-05-19,NA,NA,NA,NA,15,3,1,NA,NA,NA,NA,NA,NA,3,22,2014,"Spring","May",13.2
"242",2014-05-21,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2014,"Spring","May",13.4
"243",2014-05-23,NA,NA,NA,NA,27,NA,1,NA,NA,NA,NA,NA,1,29,58,2014,"Spring","May",12.8
"244",2014-05-26,NA,NA,NA,NA,13,NA,2,2,NA,NA,NA,NA,NA,22,39,2014,"Spring","May",13.9
"245",2014-05-28,NA,NA,NA,NA,44,2,1,NA,NA,NA,NA,NA,1,27,75,2014,"Spring","May",13.2
"246",2014-05-30,NA,NA,NA,NA,38,NA,3,NA,NA,NA,NA,NA,NA,14,55,2014,"Spring","May",13.7
"247",2014-06-02,NA,NA,NA,NA,38,1,1,NA,NA,NA,NA,NA,NA,7,47,2014,"Spring","June",13.3
"248",2014-06-04,NA,NA,NA,NA,14,1,NA,NA,NA,NA,NA,NA,NA,5,20,2014,"Spring","June",12.3
"249",2014-06-06,NA,NA,NA,NA,21,1,NA,NA,NA,NA,NA,NA,1,3,26,2014,"Spring","June",12.3
"250",2014-06-09,NA,NA,NA,NA,34,NA,1,NA,NA,NA,NA,NA,NA,24,59,2014,"Spring","June",12.8
"251",2014-06-11,NA,NA,NA,NA,23,NA,1,NA,NA,NA,NA,NA,NA,21,45,2014,"Spring","June",12.9
"252",2014-06-13,NA,NA,NA,NA,12,NA,1,NA,NA,NA,NA,NA,NA,12,25,2014,"Spring","June",12.8
"253",2014-06-16,NA,NA,NA,NA,14,2,NA,NA,NA,NA,NA,NA,NA,24,40,2014,"Spring","June",13.2
"254",2014-06-18,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,8,14,2014,"Spring","June",12.9
"255",2014-06-19,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2014,"Spring","June",12.7
"256",2014-06-23,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,6,9,2014,"Summer","June",12.6
"257",2014-06-25,NA,NA,NA,NA,6,1,1,NA,NA,NA,NA,NA,NA,1,9,2014,"Summer","June",12.1
"258",2014-06-27,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2,9,2014,"Summer","June",11.9
"259",2014-06-30,NA,NA,NA,NA,16,NA,1,NA,NA,NA,NA,NA,NA,5,22,2014,"Summer","June",12.5
"260",2014-07-03,NA,NA,NA,NA,15,2,NA,NA,NA,NA,NA,NA,NA,7,24,2014,"Summer","July",12.5
"261",2014-07-07,NA,NA,NA,NA,6,1,1,NA,NA,NA,NA,2,NA,6,16,2014,"Summer","July",13.1
"262",2014-07-09,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,1,2,12,2014,"Summer","July",13.5
"263",2014-07-11,NA,NA,NA,NA,9,1,NA,NA,NA,NA,NA,NA,NA,9,19,2014,"Summer","July",13.9
"264",2014-07-14,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,5,11,2014,"Summer","July",14.3
"265",2014-07-16,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,NA,5,14,2014,"Summer","July",14.3
"266",2014-07-18,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,16,21,2014,"Summer","July",13.4
"267",2014-07-21,NA,NA,NA,NA,6,1,NA,1,NA,1,NA,1,NA,15,25,2014,"Summer","July",13.2
"268",2014-07-23,NA,NA,NA,NA,11,NA,NA,NA,NA,1,NA,2,NA,5,19,2014,"Summer","July",13.3
"269",2014-07-25,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,1,8,2014,"Summer","July",13.4
"270",2014-07-28,NA,NA,NA,NA,2,3,NA,NA,NA,1,NA,NA,NA,4,10,2014,"Summer","July",12.9
"271",2014-07-30,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,1,5,2014,"Summer","July",12.9
"272",2014-08-01,NA,NA,NA,NA,4,NA,NA,NA,1,3,NA,NA,NA,1,9,2014,"Summer","August",12.8
"273",2014-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2014,"Summer","August",12.9
"274",2014-08-06,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2014,"Summer","August",13.1
"275",2014-08-08,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2,5,2014,"Summer","August",13.1
"276",2014-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,3,2014,"Summer","August",13.1
"277",2014-08-13,NA,NA,NA,NA,2,2,NA,NA,NA,2,NA,NA,NA,NA,6,2014,"Summer","August",13
"278",2014-08-15,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,3,2014,"Summer","August",13.1
"279",2014-08-18,NA,NA,NA,NA,2,4,NA,NA,1,3,NA,NA,NA,5,15,2014,"Summer","August",13.3
"280",2014-08-20,NA,NA,NA,NA,1,1,NA,NA,2,5,NA,NA,NA,2,11,2014,"Summer","August",13.1
"281",2014-08-22,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,2,7,2014,"Summer","August",13
"282",2014-08-25,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,3,2014,"Summer","August",13.7
"283",2014-08-27,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,5,2014,"Summer","August",13
"284",2014-08-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2014,"Summer","August",13.1
"285",2014-09-02,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2014,"Summer","September",13.3
"286",2014-09-03,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2014,"Summer","September",13.2
"287",2014-09-05,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2014,"Summer","September",13.2
"288",2014-09-08,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2014,"Summer","September",13.1
"289",2014-09-12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,2014,"Summer","September",13.1
"290",2014-09-15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2014,"Summer","September",13
"291",2014-09-18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2014,"Summer","September",13.1
"292",2014-09-22,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13,2014,"Fall","September",13.3
"293",2014-09-24,6,1,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,11,2014,"Fall","September",13.2
"294",2014-09-26,12,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,16,2014,"Fall","September",13.3
"295",2014-09-29,19,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2014,"Fall","September",13.3
"296",2014-10-01,10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,8,24,2014,"Fall","October",13.2
"297",2014-10-03,17,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,27,2014,"Fall","October",13.2
"298",2014-10-06,10,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,20,2014,"Fall","October",13.2
"299",2014-10-08,24,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,29,2014,"Fall","October",13
"300",2014-10-10,24,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,33,2014,"Fall","October",13
"301",2014-10-13,34,1,1,1,NA,NA,NA,NA,NA,NA,NA,29,NA,10,76,2014,"Fall","October",12.9
"302",2014-10-15,19,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,28,2014,"Fall","October",12.9
"303",2014-10-17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,5,40,2014,"Fall","October",12.7
"304",2014-10-20,29,2,2,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,6,82,2014,"Fall","October",12.4
"305",2014-10-22,45,4,3,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,10,94,2014,"Fall","October",12.5
"306",2014-10-24,36,1,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,12,62,2014,"Fall","October",12.3
"307",2014-10-27,58,4,1,NA,NA,NA,NA,NA,NA,NA,NA,70,1,9,143,2014,"Fall","October",12
"308",2014-10-29,87,2,2,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,9,131,2014,"Fall","October",11.9
"309",2014-10-31,39,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,41,1,6,88,2014,"Fall","October",11.8
"310",2014-11-03,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,1,6,96,2014,"Fall","November",11.6
"311",2014-11-05,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,5,57,2014,"Fall","November",11.5
"312",2014-11-07,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,7,73,2014,"Fall","November",11.5
"313",2014-11-10,38,2,3,NA,NA,NA,NA,NA,NA,NA,NA,107,1,11,162,2014,"Fall","November",11.7
"314",2014-11-11,26,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,59,2014,"Fall","November",11.4
"315",2014-11-12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,69,2014,"Fall","November",11
"316",2014-11-17,39,3,1,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,5,228,2014,"Fall","November",9.6
"317",2014-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,17,2014,"Fall","November",9.4
"318",2014-11-19,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,42,2014,"Fall","November",9.4
"319",2014-11-21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,53,2014,"Fall","November",9.3
"320",2014-11-24,34,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,107,NA,1,143,2014,"Fall","November",9.4
"321",2014-11-26,79,1,6,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,6,156,2014,"Fall","November",9.5
"322",2014-11-28,47,1,1,1,NA,NA,NA,NA,NA,NA,NA,53,NA,8,111,2014,"Fall","November",9.6
"323",2014-12-01,69,1,NA,1,NA,NA,NA,NA,NA,NA,NA,69,1,8,149,2014,"Fall","December",9.1
"324",2014-12-03,76,1,NA,1,NA,NA,NA,NA,NA,NA,NA,21,NA,4,103,2014,"Fall","December",8.8
"325",2014-12-05,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,3,73,2014,"Fall","December",8.6
"326",2014-12-08,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,4,53,2014,"Fall","December",8.5
"327",2014-12-10,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,9,51,2014,"Fall","December",8.7
"328",2014-12-12,29,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,13,84,2014,"Fall","December",8.7
"329",2014-12-15,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,13,2014,"Fall","December",8.6
"330",2014-12-17,11,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,14,2014,"Fall","December",8.3
"331",2014-12-19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,4,2014,"Fall","December",8.2
"332",2014-12-22,70,NA,4,1,NA,NA,NA,NA,NA,NA,NA,19,NA,22,116,2014,"Winter","December",8.4
"333",2014-12-24,119,5,2,2,NA,NA,NA,NA,NA,NA,NA,10,NA,22,160,2014,"Winter","December",8.3
"334",2014-12-26,60,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,10,76,2014,"Winter","December",7.9
"335",2014-12-29,67,4,2,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,16,95,2014,"Winter","December",7.6
"336",2014-12-31,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,4,31,2014,"Winter","December",7.2
"337",2015-01-02,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,5,24,2015,"Winter","January",6.5
"338",2015-01-05,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,51,2015,"Winter","January",6.8
"339",2015-01-07,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,12,90,2015,"Winter","January",6.8
"340",2015-01-09,49,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,60,2015,"Winter","January",6.7
"341",2015-01-12,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,10,59,2015,"Winter","January",6.8
"342",2015-01-14,29,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,9,42,2015,"Winter","January",7.1
"343",2015-01-16,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,55,2015,"Winter","January",7
"344",2015-01-19,84,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,93,2015,"Winter","January",7.2
"345",2015-01-22,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,30,124,2015,"Winter","January",7.5
"346",2015-01-23,19,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,26,2015,"Winter","January",7.3
"347",2015-01-26,36,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,13,55,2015,"Winter","January",7.1
"348",2015-01-28,41,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,54,2015,"Winter","January",7.4
"349",2015-01-30,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,50,2015,"Winter","January",7.3
"350",2015-02-02,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,51,2015,"Winter","February",7.1
"351",2015-02-04,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,55,2015,"Winter","February",7.3
"352",2015-02-06,54,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,72,2015,"Winter","February",7.6
"353",2015-02-09,70,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,105,2015,"Winter","February",7.8
"354",2015-02-11,84,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,100,2015,"Winter","February",7.5
"355",2015-02-13,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,33,2015,"Winter","February",7.6
"356",2015-02-16,36,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9,48,2015,"Winter","February",7.7
"357",2015-02-18,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,30,2015,"Winter","February",7.7
"358",2015-02-20,22,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,32,2015,"Winter","February",7.7
"359",2015-02-23,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,48,2015,"Winter","February",7.7
"360",2015-02-25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,33,2015,"Winter","February",7.4
"361",2015-02-27,15,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,22,2015,"Winter","February",7.7
"362",2015-03-02,32,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,5,40,2015,"Winter","March",7.8
"363",2015-03-04,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,17,2015,"Winter","March",7.4
"364",2015-03-06,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,22,2015,"Winter","March",7.5
"365",2015-03-09,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,38,2015,"Winter","March",8.1
"366",2015-03-11,40,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,46,2015,"Winter","March",8.3
"367",2015-03-13,20,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,38,2015,"Winter","March",8.5
"368",2015-03-16,30,16,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,68,2015,"Winter","March",8.9
"369",2015-03-18,18,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,49,2015,"Winter","March",9.2
"370",2015-03-20,7,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,14,2015,"Spring","March",9
"371",2015-03-23,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,48,2015,"Spring","March",9.3
"372",2015-03-25,19,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,33,2015,"Spring","March",9.5
"373",2015-03-27,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,23,2015,"Spring","March",9.8
"374",2015-03-30,23,16,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,8,52,2015,"Spring","March",9.9
"375",2015-04-01,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,21,2015,"Spring","April",9.9
"376",2015-04-03,4,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,24,2015,"Spring","April",10.1
"377",2015-04-06,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,2015,"Spring","April",9.9
"378",2015-04-08,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,17,2015,"Spring","April",10
"379",2015-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2015,"Spring","April",10
"380",2015-04-13,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,19,2015,"Spring","April",10.1
"381",2015-04-15,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,2015,"Spring","April",10.3
"382",2015-04-17,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,2015,"Spring","April",10.5
"383",2015-04-20,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,2015,"Spring","April",10.7
"384",2015-04-22,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,2015,"Spring","April",10.7
"385",2015-04-24,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,2015,"Spring","April",10.6
"386",2015-04-27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,2015,"Spring","April",11.3
"387",2015-04-29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,2015,"Spring","April",11.3
"388",2015-05-01,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,2015,"Spring","May",11.6
"389",2015-05-04,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,10,15,2015,"Spring","May",12.1
"390",2015-05-06,1,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,4,11,2015,"Spring","May",11.9
"391",2015-05-08,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,1,6,2015,"Spring","May",12.6
"392",2015-05-11,NA,1,NA,NA,13,1,2,1,NA,NA,NA,NA,NA,6,24,2015,"Spring","May",12.2
"393",2015-05-13,NA,NA,NA,NA,8,NA,3,NA,NA,NA,NA,NA,NA,NA,11,2015,"Spring","May",12.1
"394",2015-05-15,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,4,11,2015,"Spring","May",12
"395",2015-05-18,NA,NA,NA,NA,6,1,1,NA,NA,NA,NA,NA,NA,4,12,2015,"Spring","May",11.9
"396",2015-05-20,NA,NA,NA,NA,20,1,6,NA,NA,NA,NA,NA,NA,5,32,2015,"Spring","May",11.9
"397",2015-05-22,NA,NA,NA,NA,15,2,2,2,NA,NA,NA,NA,NA,10,31,2015,"Spring","May",12.1
"398",2015-05-24,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2015,"Spring","May",12.4
"399",2015-05-26,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,5,12,2015,"Spring","May",12.4
"400",2015-05-27,NA,NA,NA,NA,14,2,1,NA,NA,NA,NA,NA,NA,3,20,2015,"Spring","May",12.5
"401",2015-05-29,NA,NA,NA,NA,25,5,3,NA,NA,NA,NA,NA,NA,1,34,2015,"Spring","May",13
"402",2015-06-01,NA,NA,NA,NA,40,NA,2,3,NA,NA,NA,NA,NA,3,48,2015,"Spring","June",13.9
"403",2015-06-03,NA,NA,NA,NA,31,NA,1,NA,NA,NA,NA,NA,1,13,46,2015,"Spring","June",13.6
"404",2015-06-05,NA,NA,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA,22,35,2015,"Spring","June",13.8
"405",2015-06-08,NA,NA,NA,NA,30,2,1,1,NA,NA,NA,NA,NA,6,40,2015,"Spring","June",13.2
"406",2015-06-10,NA,NA,NA,NA,15,3,1,NA,NA,NA,NA,NA,NA,6,25,2015,"Spring","June",13.2
"407",2015-06-12,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,6,13,2015,"Spring","June",12.8
"408",2015-06-15,NA,NA,NA,NA,14,1,NA,NA,NA,NA,NA,NA,NA,7,22,2015,"Spring","June",13
"409",2015-06-17,NA,NA,NA,NA,26,1,NA,NA,NA,NA,NA,NA,1,7,35,2015,"Spring","June",13.1
"410",2015-06-19,NA,NA,NA,NA,14,1,NA,NA,NA,NA,NA,NA,NA,1,16,2015,"Spring","June",13.3
"411",2015-06-22,NA,NA,NA,NA,39,2,3,NA,NA,NA,NA,1,NA,5,50,2015,"Summer","June",13.7
