Location,Date_time,pH,Dissolved Oxygen % Saturation,Temperature,Dissolved Oxygen mg/l,Biochemical Oxygen Demand,Total Coliform,Total Solids,Ammonia,Nitrate + Nitrite,Escherichiac in cfu/100ml,Escherichia in MPN/100ml,Year,Season,Julian
Deschutes River at Deschutes River Park,1973-03-05,8.1,104,7,12.6,1.6,230,96,0.002,NA,NA,NA,1973,Winter,64
Deschutes River at Maupin,1973-07-11,NA,113,16.5,11.3,NA,NA,109,0.08,NA,NA,NA,1973,Summer,192
John Day River at Hwy 206,1973-09-26,NA,130,19,12,NA,NA,232,0.29,NA,NA,NA,1973,Fall,269
Deschutes River at Maupin,1973-11-12,7.7,97,10,10.8,1.1,230,117,0.001,NA,NA,NA,1973,Fall,316
Deschutes River at Deschutes River Park,1974-04-08,7.6,103,10,11.6,1,120,124,0.002,NA,NA,NA,1974,Spring,98
Deschutes River at Maupin,1974-04-08,7.6,101,8.5,11.6,0.6,45,118,8e-4,NA,NA,NA,1974,Spring,98
John Day River at Hwy 206,1974-07-31,8.5,119,26,8.7,0.8,45,152,0.008,NA,NA,NA,1974,Summer,212
Deschutes River at Deschutes River Park,1974-08-28,8.7,113,21,10.2,1.6,45,96,0.004,NA,NA,NA,1974,Summer,240
Deschutes River at Maupin,1974-08-28,8.3,109,17.5,10.5,1.2,45,99,0.001,NA,NA,NA,1974,Summer,240
Deschutes River at Maupin,1974-10-29,NA,NA,NA,NA,NA,NA,106,0.01,NA,NA,NA,1974,Fall,302
Deschutes River at Deschutes River Park,1974-10-29,NA,NA,NA,NA,NA,NA,103,0.02,NA,NA,NA,1974,Fall,302
John Day River at Hwy 206,1974-11-11,NA,NA,NA,NA,NA,NA,191,0.06,NA,NA,NA,1974,Fall,315
Deschutes River at Deschutes River Park,1975-03-25,7.5,105,7.5,12.7,1.9,230,151,6e-5,NA,NA,NA,1975,Spring,84
John Day River at Hwy 206,1975-07-09,8.5,106,28,8.7,1.1,200,188,0.048,NA,NA,NA,1975,Summer,190
Deschutes River at Deschutes River Park,1975-09-08,8.5,118,20,10.9,NA,230,102,0.014,NA,NA,NA,1975,Summer,251
Deschutes River at Maupin,1975-09-08,8.5,109,16,10.5,1.2,230,103,0.01,NA,NA,NA,1975,Summer,251
John Day River at Hwy 206,1975-11-10,7.7,103,7,12.2,1.3,45,183,0.001,NA,NA,NA,1975,Fall,314
John Day River at Hwy 206,1976-01-28,8,105,6,13.1,1.5,60,171,0.003,NA,NA,NA,1976,Winter,28
Deschutes River at Deschutes River Park,1976-01-28,8.4,112,10,12.7,NA,45,121,0.011,NA,NA,NA,1976,Winter,28
Deschutes River at Deschutes River Park,1976-02-17,7.9,100,7,12.2,1.2,620,115,1e-4,0.2,NA,NA,1976,Winter,48
John Day River at Hwy 206,1976-03-17,8.5,103,12.5,11,6.2,60,275,0.003,0.03,NA,NA,1976,Winter,77
John Day River at Hwy 206,1976-04-14,7.9,101,10.5,10.9,1.8,60,250,0.003,0.2,NA,NA,1976,Spring,105
Deschutes River at Deschutes River Park,1976-04-14,8.6,114,11,12.6,2.7,45,101,0.002,0.1,NA,NA,1976,Spring,105
John Day River at Hwy 206,1976-05-12,7.3,100,16,9.7,1.6,620,215,5e-4,0.8,NA,NA,1976,Spring,133
Deschutes River at Deschutes River Park,1976-05-12,8.7,105,17,10.2,1.6,130,107,0.018,0.1,NA,NA,1976,Spring,133
John Day River at Hwy 206,1976-06-09,8.2,102,19,9.4,0.6,620,119,0.007,0.1,NA,NA,1976,Spring,161
Deschutes River at Deschutes River Park,1976-06-09,8,104,16.5,10.3,0.6,230,106,0.001,0.03,NA,NA,1976,Spring,161
Deschutes River at Deschutes River Park,1976-07-14,8.5,105,18,10.3,1.3,60,82,0.006,0.1,NA,NA,1976,Summer,196
John Day River at Hwy 206,1976-08-18,8.2,95,19,8.7,1.3,230,469,0.015,0.09,NA,NA,1976,Summer,231
Deschutes River at Deschutes River Park,1976-08-18,8.4,108,17,10.5,0.9,45,113,0.005,0.1,NA,NA,1976,Summer,231
John Day River at Hwy 206,1976-09-15,8.4,114,19,10.5,0.8,60,202,0.002,0.02,NA,NA,1976,Summer,259
Deschutes River at Deschutes River Park,1976-09-15,8.4,109,17,10.6,1.1,60,101,0.006,0.1,NA,NA,1976,Summer,259
John Day River at Hwy 206,1976-10-27,8.4,119,11,12.9,0.9,45,186,0.029,0.07,NA,NA,1976,Fall,301
Deschutes River at Deschutes River Park,1976-10-27,8.4,111,12.5,11.9,0.8,45,117,7e-4,0.3,NA,NA,1976,Fall,301
Deschutes River at Deschutes River Park,1976-12-01,7.9,101,5.5,13,1.5,230,104,6e-4,0.2,NA,NA,1976,Fall,336
Deschutes River at Deschutes River Park,1976-12-21,7.9,102,5.5,12.9,1.4,45,113,8e-4,0.2,NA,NA,1976,Winter,356
Deschutes River at Deschutes River Park,1977-01-19,7.5,102,8,12.1,0.2,60,120,0.002,0.25,NA,NA,1977,Winter,19
Deschutes River at Deschutes River Park,1977-02-16,7.4,102,7,12.5,0.9,45,131,0.002,0.15,NA,NA,1977,Winter,47
Deschutes River at Deschutes River Park,1977-03-09,7.3,105,8,12.5,1.5,45,97,0.002,0.09,NA,NA,1977,Winter,68
Deschutes River at Deschutes River Park,1977-04-07,7.8,108,14.5,11.1,2.7,45,92,0.005,0.07,NA,NA,1977,Spring,97
Deschutes River at Deschutes River Park,1977-05-26,7.3,105,14,10.9,1.5,45,105,0.007,0.03,NA,NA,1977,Spring,146
Deschutes River at Deschutes River Park,1977-06-21,7.7,109,17.5,10.5,1.5,60,92,0.006,0.02,NA,NA,1977,Summer,172
Deschutes River at Deschutes River Park,1977-11-16,7.8,94,9,10.9,1.6,230,336,6e-4,0.07,NA,NA,1977,Fall,320
Deschutes River at Deschutes River Park,1978-01-25,7.7,97,5,12.4,1.4,60,105,9e-4,0.22,NA,NA,1978,Winter,25
Deschutes River at Deschutes River Park,1978-02-21,7.9,103,8.5,12.1,1.1,46,129,0.003,0.29,NA,NA,1978,Winter,52
Deschutes River at Deschutes River Park,1978-03-21,8.3,104,12,11.2,0.5,30,108,0.005,0.13,NA,NA,1978,Spring,80
Deschutes River at Deschutes River Park,1978-04-19,7.5,88,11,9.8,0.2,91,119,0.001,0.05,NA,NA,1978,Spring,109
Deschutes River at Deschutes River Park,1978-06-21,8,96,17,9.3,1,150,116,0.002,0.05,NA,NA,1978,Summer,172
Deschutes River at Deschutes River Park,1978-07-12,8,96,16,9.6,0.8,230,132,0.002,0.1,NA,NA,1978,Summer,193
Deschutes River at Deschutes River Park,1978-08-16,7.8,98,16,9.8,1.3,230,106,0.001,0.08,NA,NA,1978,Summer,228
John Day River at Hwy 206,1978-10-25,8.5,112,12,12.1,1,36,191,0.011,0.02,NA,NA,1978,Fall,298
John Day River at Hwy 206,1978-11-15,8.3,101,1.3,14.2,2.7,36,209,0.002,0.02,NA,NA,1978,Fall,319
Deschutes River at Deschutes River Park,1979-01-17,8,101,3,13.7,2.2,91,113,5e-4,0.23,NA,NA,1979,Winter,17
John Day River at Hwy 206,1979-02-22,7.7,95,6,11.9,1.3,91,276,0.002,0.62,NA,NA,1979,Winter,53
Deschutes River at Deschutes River Park,1979-02-22,7.5,99,7,12.1,1.2,36,131,6e-4,0.34,NA,NA,1979,Winter,53
Deschutes River at Deschutes River Park,1979-03-21,7.8,105,11,11.6,1.5,91,138,0.002,0.29,NA,NA,1979,Spring,80
John Day River at Hwy 206,1979-04-18,7.9,96,11,10.7,0.7,91,203,0.002,0.08,NA,NA,1979,Spring,108
Deschutes River at Deschutes River Park,1979-04-18,8,109,12,11.7,0.9,230,138,0.002,0.17,NA,NA,1979,Spring,108
John Day River at Hwy 206,1979-05-16,7.9,95,17.5,9.1,0.9,93,391,0.003,0.08,NA,NA,1979,Spring,136
Deschutes River at Deschutes River Park,1979-05-16,8.2,103,17,10.7,0.9,230,117,0.003,0.04,NA,NA,1979,Spring,136
John Day River at Hwy 206,1979-06-20,8.2,101,19.5,9.4,0.8,36,130,0.004,0.02,NA,NA,1979,Spring,171
John Day River at Hwy 206,1979-07-18,8.7,129,29,10,0.7,36,157,0.018,0.02,NA,NA,1979,Summer,199
John Day River at Hwy 206,1979-08-22,8.5,110,23,9.6,2.3,36,204,0.01,0.06,NA,NA,1979,Summer,234
Deschutes River at Deschutes River Park,1979-08-22,7.8,110,20.5,9.9,0.9,430,123,0.002,0.14,NA,NA,1979,Summer,234
Deschutes River at Deschutes River Park,1979-09-19,8.4,114,17.5,10.9,1,91,107,0.003,0.04,NA,NA,1979,Summer,262
Deschutes River at Deschutes River Park,1979-11-16,7.6,98,8,11.7,1,30,94,3e-4,0.22,NA,NA,1979,Fall,320
Deschutes River at Deschutes River Park,1980-01-17,7.4,57,7,6.9,1.1,36,386,1e-4,0.39,NA,NA,1980,Winter,17
Deschutes River at Deschutes River Park,1980-02-14,8,96,3.5,12.8,1.1,30,99,2e-4,0.32,NA,NA,1980,Winter,45
Deschutes River at Deschutes River Park,1980-03-20,7.7,NA,9,12.1,0.7,23,92,2e-4,0.02,NA,NA,1980,Spring,80
Deschutes River at Deschutes River Park,1980-06-12,7.9,100,15,10.2,0.9,91,113,0.001,0.02,NA,NA,1980,Spring,164
Deschutes River at Deschutes River Park,1980-07-17,8.1,112,20.7,10.2,1.7,930,115,0.016,0.02,NA,NA,1980,Summer,199
Deschutes River at Deschutes River Park,1980-08-14,7.8,107,19,10.1,1.2,91,97,0.002,0.02,NA,NA,1980,Summer,227
Deschutes River at Deschutes River Park,1980-09-18,7.7,105,16,10.5,2.3,150,111,4e-4,0.02,NA,NA,1980,Summer,262
Deschutes River at Deschutes River Park,1980-11-06,7.7,106,12,10.8,1.1,43,125,7e-4,0.19,NA,NA,1980,Fall,311
Deschutes River at Deschutes River Park,1980-12-11,7.7,110,7.5,13.3,2,91,102,4e-4,0.1,NA,NA,1980,Fall,346
Deschutes River at Deschutes River Park,1981-01-15,7.4,103,5.8,12.9,1.4,150,86,2e-4,0.15,NA,NA,1981,Winter,15
Deschutes River at Deschutes River Park,1981-02-12,7.8,105,6.5,13,1.5,36,99,2e-4,0.21,NA,NA,1981,Winter,43
Deschutes River at Deschutes River Park,1981-04-16,8.6,117,12.5,12.5,1.5,30,90,0.002,0.02,NA,NA,1981,Spring,106
Deschutes River at Deschutes River Park,1981-07-16,8,106,19.2,10,1.4,210,97,0.001,0.02,NA,NA,1981,Summer,197
Deschutes River at Deschutes River Park,1981-08-13,8.2,114,22,10,1.1,36,103,0.002,0.05,NA,NA,1981,Summer,225
Deschutes River at Deschutes River Park,1981-09-17,7.8,113,17.5,10.4,1.4,30,89,0.002,0.03,NA,NA,1981,Summer,260
Deschutes River at Deschutes River Park,1981-12-10,7.8,103,8,12.3,1.6,210,124,5e-4,0.17,NA,NA,1981,Fall,344
Deschutes River at Deschutes River Park,1982-02-11,7.4,105,4.5,13.6,2.7,91,118,1e-4,0.27,NA,NA,1982,Winter,42
Deschutes River at Deschutes River Park,1982-04-14,7.8,102,8.5,12,2.2,73,88,4e-4,0.1,NA,NA,1982,Spring,104
Deschutes River at Deschutes River Park,1982-05-25,8.1,95,14.5,9.8,1.3,36,103,8e-4,0.02,NA,NA,1982,Spring,145
