Location,Date_time,Conductivity in μS/cm,Dissolved Oxygen in %,Dissolved Oxygen in mg/L,pH in NA,Temperature
South Junction,2016-05-16T00:00:00Z,115.7,126.1,11.93,8.53,14.74
South Junction,2016-06-09T00:00:00Z,119.8,112,10.56,8.51,14.47
South Junction,2016-06-20T00:00:00Z,113.9,123.7,11.86,8.7,14.16
South Junction,2016-07-07T00:00:00Z,119,113.5,11.26,9.19,15.73
South Junction,2016-07-18T00:00:00Z,113.8,98.3,10.17,8.34,13.76
South Junction,2016-08-01T00:00:00Z,118.2,107.8,10.63,8.77,16.03
South Junction,2016-08-15T00:00:00Z,115.9,106.6,10.36,8.82,16.72
South Junction,2016-09-09T00:00:00Z,112.2,108.1,11.06,8.48,14.28
South Junction,2016-09-22T00:00:00Z,110.1,102.8,10.76,8.32,13.25
South Junction,2016-10-17T00:00:00Z,112.6,101.8,10.97,8.58,12
South Junction,2017-06-15T00:00:00Z,63.1,102.2,10.64,8.59,13.5
South Junction,2017-07-11T00:00:00Z,113.3,104.9,10.17,8.74,16.8
South Junction,2017-08-16T00:00:00Z,108.9,99.4,10.39,8.34,13.29
South Junction,2017-09-13T00:00:00Z,106.4,111.1,11.4,8.43,14.23
Whitehorse,2015-02-24T00:00:00Z,NA,NA,13.7,8.42,7.22
Whitehorse,2015-04-22T00:00:00Z,NA,NA,12.95,8.83,10.88
Whitehorse,2015-05-05T00:00:00Z,NA,108,11.18,9.06,13.8
Whitehorse,2015-05-19T00:00:00Z,NA,103.8,11,8.58,12.5
Whitehorse,2015-06-02T00:00:00Z,NA,118,11.75,9.03,15.22
Whitehorse,2015-06-16T00:00:00Z,NA,116.5,11.28,7.82,16.52
Whitehorse,2015-07-07T00:00:00Z,81.4,121,11.45,10.03,18.2
Whitehorse,2015-07-21T00:00:00Z,80.2,115.5,11.82,9.25,14.3
Whitehorse,2015-08-04T00:00:00Z,NA,108.4,11.15,8.68,14.1
Whitehorse,2015-08-18T00:00:00Z,NA,106.4,10.89,8.6,14.3
Whitehorse,2015-09-01T00:00:00Z,NA,102.7,10.6,8.27,13.9
Whitehorse,2015-09-15T00:00:00Z,123,97.1,10.3,7.74,12.64
Whitehorse,2015-10-20T00:00:00Z,118.8,109.8,10.99,8.35,12.29
Whitehorse,2016-02-29T00:00:00Z,110.3,110,12.45,7.66,6.98
Whitehorse,2016-04-21T00:00:00Z,127.2,110.9,11.09,8.08,11.68
Whitehorse,2016-05-05T00:00:00Z,124.1,110.3,11.02,8.25,12.32
Whitehorse,2016-05-19T00:00:00Z,115.6,119.6,11.73,8.53,12.77
Whitehorse,2016-06-09T00:00:00Z,120.7,119.8,11.13,8.81,15.21
Whitehorse,2016-06-23T00:00:00Z,115.9,120.8,11.67,8.74,13.55
Whitehorse,2016-07-08T00:00:00Z,119.7,101.5,10.31,8.67,14.64
Whitehorse,2016-07-21T00:00:00Z,116.1,104.4,10.71,8.45,14.24
Whitehorse,2016-08-04T00:00:00Z,120.1,98.9,10.04,8.22,14.66
Whitehorse,2016-08-18T00:00:00Z,115.3,100.3,10.22,8.34,14.51
Whitehorse,2016-09-08T00:00:00Z,113.5,98.5,10.27,8.08,13.48
Whitehorse,2016-09-19T00:00:00Z,112.2,102.4,10.74,8.16,13.21
Whitehorse,2016-10-20T00:00:00Z,113.9,98.3,10.6,8.19,11.95
Ferry,2015-02-25T00:00:00Z,NA,NA,12.46,8.21,6.95
Ferry,2015-04-23T00:00:00Z,NA,NA,13.99,8.68,10.33
Ferry,2015-05-07T00:00:00Z,NA,99.8,10.89,8.74,11.6
Ferry,2015-05-20T00:00:00Z,NA,99.1,10.54,8.21,12.6
Ferry,2015-06-03T00:00:00Z,NA,102.1,10.47,7.83,13.81
Ferry,2015-06-17T00:00:00Z,NA,99.8,10.15,6.72,14.16
Ferry,2015-07-08T00:00:00Z,78.2,97.9,9.44,9.45,17.1
Ferry,2015-07-22T00:00:00Z,77.2,110.7,11.3,8.32,13.92
Ferry,2015-08-05T00:00:00Z,NA,102.5,10.36,8.31,14.9
