"","Date_time","Mean Temperature","Year","Season","SUMMER.STEELHEAD_Hatchery","SUMMER.STEELHEAD_Wild","SUMMER.STEELHEAD_RM","SUMMER.STEELHEAD_LM","SPRING.CHINOOK_Hachery","SPRING.CHINOOK_Wild","SPRING.CHINOOK_RM","SPRING.CHINOOK_LM","Sockeye_NoMark","Sockeye_RM","Sockeye_LM","Fall.Chinook","Bull.Trout","Rainbow.Trout","Total"
"922",2020-04-24,11.1,2020,"Spring",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,27
"923",2020-04-27,11.9,2020,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12
"924",2020-05-01,12.1,2020,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19
"925",2020-05-04,12.4,2020,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7
"926",2020-05-08,12.2,2020,"Spring",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,10,12
"927",2020-05-11,11.8,2020,"Spring",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,9,13
"928",2020-05-13,11.9,2020,"Spring",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,3
"929",2020-05-15,12.3,2020,"Spring",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,6
"930",2020-05-18,12.4,2020,"Spring",NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,2,2,11
"931",2020-05-20,12.3,2020,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11
"932",2020-05-22,12.3,2020,"Spring",NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,11,17
"933",2020-05-26,12.5,2020,"Spring",NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,34,40
"934",2020-05-27,12.7,2020,"Spring",NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,2,11,16
"935",2020-05-29,12.7,2020,"Spring",NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,1,10
"936",2020-06-01,12.8,2020,"Spring",NA,1,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,1,36,52
"937",2020-06-03,12.8,2020,"Spring",NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,21,27
"938",2020-06-05,12.9,2020,"Spring",NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,2,12,24
"939",2020-06-08,13.2,2020,"Spring",NA,NA,NA,NA,17,2,1,1,NA,NA,NA,NA,3,14,38
"940",2020-06-10,13.4,2020,"Spring",NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,3,10
"941",2020-06-12,13.2,2020,"Spring",NA,NA,NA,NA,11,NA,NA,1,NA,NA,NA,NA,NA,8,20
"942",2020-06-15,12.5,2020,"Spring",NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,1,7,19
"943",2020-06-17,12.6,2020,"Spring",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,4
"944",2020-06-19,13.1,2020,"Spring",NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,3,16
"945",2020-06-22,13.6,2020,"Summer",NA,NA,NA,NA,13,NA,1,1,NA,NA,NA,NA,NA,8,23
"946",2020-06-26,13.9,2020,"Summer",NA,NA,NA,NA,18,1,2,1,NA,NA,NA,NA,NA,8,30
"947",2020-06-29,14.1,2020,"Summer",NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,8,23
"948",2020-07-01,14.1,2020,"Summer",NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,2,8
"949",2020-07-02,14.3,2020,"Summer",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,5
"950",2020-07-06,13.6,2020,"Summer",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,6
"951",2020-07-08,13.3,2020,"Summer",NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,1,6
"952",2020-07-10,12.6,2020,"Summer",NA,NA,NA,NA,3,1,NA,NA,1,NA,NA,NA,1,NA,6
"953",2020-07-13,12.3,2020,"Summer",NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,4,8
"954",2020-07-15,12.5,2020,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"955",2020-07-20,12.7,2020,"Summer",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,4
"956",2020-07-22,12.5,2020,"Summer",NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,3
"957",2020-07-24,12.6,2020,"Summer",NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,1,NA,9
"958",2020-07-27,12.5,2020,"Summer",NA,NA,NA,NA,6,NA,NA,NA,4,1,NA,NA,2,3,16
